GtRNAdb Gene Symbol	Start	end	length
tRNA-Arg-TCT-3-2	37	50	13
tRNA-Arg-TCT-3-1	37	55	18
tRNA-Arg-TCT-1-1	37	49	12
tRNA-Arg-TCT-2-1	37	52	15
tRNA-Arg-TCT-5-1	37	51	14
tRNA-Ile-TAT-1-1	38	57	19
tRNA-Ile-TAT-2-1	38	57	19
tRNA-Ile-TAT-2-2	38	58	20
tRNA-Ile-TAT-2-3	38	58	20
tRNA-Ile-TAT-3-1	38	58	20
tRNA-Leu-CAA-2-1	38	62	24
tRNA-Leu-CAA-3-1	38	61	23
tRNA-Leu-CAA-4-1	38	60	22
tRNA-Leu-CAA-1-1	38	61	23
tRNA-Leu-CAA-1-2	38	60	22
tRNA-Pro-AGG-3-1	36	52	16
tRNA-Leu-AAG-7-1	38	47	9
tRNA-Cys-ACA-1-1	36	133	97
tRNA-Phe-GAA-7-1	37	40	3
tRNA-Tyr-ATA-1-1	37	57	20
tRNA-Tyr-GTA-1-1	37	55	18
tRNA-Tyr-GTA-2-1	37	53	16
tRNA-Tyr-GTA-3-1	37	53	16
tRNA-Tyr-GTA-5-3	37	58	21
tRNA-Tyr-GTA-5-4	37	58	21
tRNA-Tyr-GTA-5-5	37	53	16
tRNA-Tyr-GTA-5-1	37	57	20
tRNA-Tyr-GTA-5-2	37	53	16
tRNA-Tyr-GTA-7-1	37	58	21
tRNA-Tyr-GTA-6-1	37	53	16
tRNA-Tyr-GTA-4-1	37	58	21
tRNA-Tyr-GTA-8-1	37	54	17
tRNA-Tyr-GTA-9-1	37	53	16
